2020-02-08 22:29:55,210 |    pack.madgraph.run |   INFO | b'INFO: Please specify coupling orders to bypass this step.'
2020-02-08 22:29:55,212 |    pack.madgraph.run |   INFO | b'INFO: Trying coupling order WEIGHTED<=2: WEIGTHED IS 2*QED+QCD'
2020-02-08 22:29:55,216 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > g g WEIGHTED<=2 @1'
2020-02-08 22:29:55,220 |    pack.madgraph.run |   INFO | b'INFO: Process has 4 diagrams'
2020-02-08 22:29:55,222 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > u u~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,225 |    pack.madgraph.run |   INFO | b'INFO: Process has 3 diagrams'
2020-02-08 22:29:55,226 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > u c~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,229 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > c u~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,231 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > c c~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,234 |    pack.madgraph.run |   INFO | b'INFO: Process has 3 diagrams'
2020-02-08 22:29:55,236 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > d d~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,239 |    pack.madgraph.run |   INFO | b'INFO: Process has 3 diagrams'
2020-02-08 22:29:55,240 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > d s~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,242 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > s d~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,244 |    pack.madgraph.run |   INFO | b'INFO: Trying process: g g > s s~ WEIGHTED<=2 @1'
2020-02-08 22:29:55,247 |    pack.madgraph.run |   INFO | b'INFO: Process has 3 diagrams'
2020-02-08 22:29:55,250 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g u > g u, reuse diagrams.'
2020-02-08 22:29:55,257 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g c > g c, reuse diagrams.'
2020-02-08 22:29:55,262 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g d > g d, reuse diagrams.'
2020-02-08 22:29:55,267 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g s > g s, reuse diagrams.'
2020-02-08 22:29:55,272 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g u~ > g u~, reuse diagrams.'
2020-02-08 22:29:55,276 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g c~ > g c~, reuse diagrams.'
2020-02-08 22:29:55,280 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g d~ > g d~, reuse diagrams.'
2020-02-08 22:29:55,283 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for g s~ > g s~, reuse diagrams.'
2020-02-08 22:29:55,286 |    pack.madgraph.run |   INFO | b'INFO: Process u g > g u added to mirror process g u > g u'
2020-02-08 22:29:55,288 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u u > u u WEIGHTED<=2 @1'
2020-02-08 22:29:55,292 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-08 22:29:55,293 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u u > u c WEIGHTED<=2 @1'
2020-02-08 22:29:55,296 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u u > c c WEIGHTED<=2 @1'
2020-02-08 22:29:55,302 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u c > u u WEIGHTED<=2 @1'
2020-02-08 22:29:55,304 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u c > u c WEIGHTED<=2 @1'
2020-02-08 22:29:55,306 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,308 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u c > c c WEIGHTED<=2 @1'
2020-02-08 22:29:55,315 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u d > u d WEIGHTED<=2 @1'
2020-02-08 22:29:55,317 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,318 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u d > u s WEIGHTED<=2 @1'
2020-02-08 22:29:55,320 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u d > c d WEIGHTED<=2 @1'
2020-02-08 22:29:55,322 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u d > c s WEIGHTED<=2 @1'
2020-02-08 22:29:55,326 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u s > u d WEIGHTED<=2 @1'
2020-02-08 22:29:55,328 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u s > u s WEIGHTED<=2 @1'
2020-02-08 22:29:55,330 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,332 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u s > c d WEIGHTED<=2 @1'
2020-02-08 22:29:55,333 |    pack.madgraph.run |   INFO | b'INFO: Trying process: u s > c s WEIGHTED<=2 @1'
2020-02-08 22:29:55,337 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > g g, reuse diagrams.'
2020-02-08 22:29:55,340 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > u u~, reuse diagrams.'
2020-02-08 22:29:55,341 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > c c~, reuse diagrams.'
2020-02-08 22:29:55,343 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > d d~, reuse diagrams.'
2020-02-08 22:29:55,344 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u u~ > s s~, reuse diagrams.'
2020-02-08 22:29:55,346 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u c~ > u c~, reuse diagrams.'
2020-02-08 22:29:55,350 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u d~ > u d~, reuse diagrams.'
2020-02-08 22:29:55,354 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u s~ > u s~, reuse diagrams.'
2020-02-08 22:29:55,356 |    pack.madgraph.run |   INFO | b'INFO: Process c g > g c added to mirror process g c > g c'
2020-02-08 22:29:55,359 |    pack.madgraph.run |   INFO | b'INFO: Process c u > u c added to mirror process u c > u c'
2020-02-08 22:29:55,361 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c c > u u WEIGHTED<=2 @1'
2020-02-08 22:29:55,362 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c c > u c WEIGHTED<=2 @1'
2020-02-08 22:29:55,365 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c c > c c WEIGHTED<=2 @1'
2020-02-08 22:29:55,369 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-08 22:29:55,375 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c d > u d WEIGHTED<=2 @1'
2020-02-08 22:29:55,377 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c d > u s WEIGHTED<=2 @1'
